% Created by Marsyas
@relation SACSongs.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 real
@attribute output {Aegoliusharrisiisong,Amaziliaversicolorsong,AmazonaPretreisong,Anthuslutescenssong,Attilarufussong,Automolusleucophthalmussong,Basileuterusleucoblepharussong,Bataracinereasong,Brotogeristiricasong,Campephilusrobustussong,Camptostomaobsoletumsong,Campylorhamphusfalculariussong,Certhiaxiscinnamomeussong,Chiroxiphiacaudatasong,Chlorophanesspizasong,Cichlocolaptesleucophrussong,Clibanornisdendrocolaptoidessong,Cnemotriccusfuscatussong,Colaptescampestrissong,Coloniacolonussong,Cranioleucaobsoletasong,Crypturellusnoctivagussong,Culicivoracaudacutasong,Cyanocoraxcaeruleussong,Drymophilamalurasong,Dysithamnusmentalissong,Emberizoidesypiranganussong,Gnorimopsarchopisong,Hemitriccuskaempferisong,Hemitriccusorbitatussong,Hypoedaleusguttatussong,Lathrotriccuseulerisong,Leucochlorisalbicollissong,Leucopternispolionotussong,Mackenziaenaleachiisong,Malacoptilastriatasong,Mimussaturninussong,Muscipipravetulasong,Myiobiusbarbatussong,Myiodynastesmaculatussong,Myiophobusfasciatussong,Myrmecizasquamosasong,Orthogonyschloricterussong,Philydoratricapillussong,Phleocryptesmelanopssong,Phyllomyiasgriseocapillasong,Phylloscarteskroneisong,Picumnustemminckiisong,Pipriteschlorissong,Pipritespileatasong,Polioptiladumicolasong,Poospizanigrorufasong,Procniasnudicollissong,Pseudoleistesguirahurosong,Pyriglenaleucopterasong,Ramphastosdicolorussong,Ramphocelusbresiliussong,Ramphodonnaeviussong,Saltatorsimilissong,Schiffornisvirescenssong,Scytalopusiraiensissong,Sittasomusgriseicapillussong,Streptoprocnebiscutatasong,Stymphalornisacutirostrissong,Synallaxisspixisong,Tangaradesmarestisong,Thamnophilusruficapillussong,Theristicuscaudatussong,Thraupispalmarumsong,Thryothoruslongirostrissong,Trichothraupismelanopssong,Trogonsurrucurasong,Vanelluschilensissong,Xenopsminutussong,Xiphorhynchusfuscussong}


@data
0.135433,0.232873,0.079599,-89.734111,-3.446848,-3.742734,-0.481856,0.183819,0.693906,0.536875,0.921290,0.633405,0.519385,0.844402,0.618404,0.713702,0.022567,0.056517,0.034338,4.639600,0.957270,0.796983,0.722006,0.777906,0.630835,0.588005,0.643201,0.564502,0.626561,0.638561,0.497800,0.466516,0.013313,0.027034,0.007149,9.784419,0.593720,0.611007,0.308597,0.454314,0.293772,0.196200,0.300761,0.140789,0.309422,0.273877,0.145452,0.137961,0.021197,0.045168,0.036837,8.863431,0.420331,0.356178,0.253708,0.325589,0.167860,0.104674,0.207188,0.116625,0.188789,0.275973,0.093736,0.057182,Theristicuscaudatussong
0.031000,0.226950,0.082369,-70.165031,2.441495,0.697757,0.635347,1.303581,0.425030,0.108692,0.423674,0.325349,0.336820,0.196740,0.565718,0.292557,0.017213,0.323161,0.036301,3.417047,1.097125,0.965521,0.664996,0.700028,0.572232,0.587290,0.575226,0.518262,0.529045,0.527039,0.533538,0.477474,0.017093,0.106358,0.011414,8.154682,1.139880,1.043398,0.322143,0.713686,0.237372,0.375998,0.251318,0.177983,0.254867,0.163910,0.309029,0.139776,0.010474,0.112245,0.015721,5.850485,0.545445,0.481762,0.116756,0.242166,0.079627,0.097918,0.102120,0.096838,0.069021,0.079595,0.092830,0.064847,Theristicuscaudatussong
0.115341,0.215647,0.087485,-67.325029,0.951542,0.307216,-0.708730,1.996446,0.869500,-0.938547,0.627613,0.303219,0.910898,0.216005,0.827088,0.404630,0.030175,0.055362,0.034507,6.219491,1.449051,1.547835,0.852533,0.932337,0.759322,0.714811,0.624351,0.629872,0.609661,0.579197,0.559265,0.473487,0.027767,0.030128,0.011252,8.510102,0.887797,1.620701,0.392200,0.520269,0.452125,0.540230,0.229693,0.410753,0.258997,0.250889,0.278716,0.114911,0.008610,0.062963,0.015220,5.231301,0.376805,0.442107,0.194786,0.162544,0.133965,0.119051,0.105934,0.093726,0.100690,0.084746,0.082695,0.075817,Theristicuscaudatussong
0.097579,0.257405,0.079126,-79.919686,1.916943,0.295200,0.915683,1.912237,0.289594,-0.457113,0.579319,0.846997,0.252218,0.682970,0.691219,0.784836,0.046404,0.160079,0.025511,4.450000,1.094409,1.520106,0.846146,0.880231,0.819033,0.870479,0.710009,0.691520,0.609913,0.591170,0.529919,0.539404,0.026909,0.124724,0.005101,3.864001,0.771872,0.919855,0.499976,0.518691,0.480035,0.595372,0.322937,0.329171,0.258619,0.231205,0.202434,0.214967,0.024443,0.062963,0.006275,2.423292,0.371168,0.371643,0.203677,0.199333,0.250183,0.203759,0.143353,0.165556,0.103809,0.076758,0.073864,0.084507,Theristicuscaudatussong
0.132231,0.237540,0.089563,-73.946841,-1.888332,-3.698332,-1.472113,0.796440,0.051210,-1.079754,1.124613,0.368409,0.036925,1.076233,0.527564,0.829799,0.033914,0.073559,0.035574,3.945382,1.498764,0.987960,0.778112,0.927147,0.689407,0.670806,0.707420,0.691616,0.711022,0.711425,0.616788,0.529614,0.023773,0.092089,0.007314,6.312759,1.337213,0.911877,0.507127,0.663883,0.284882,0.590699,0.475552,0.294389,0.284925,0.393536,0.327981,0.163679,0.014804,0.042202,0.009013,2.028947,0.204072,0.228573,0.147829,0.211049,0.090383,0.080424,0.103430,0.111654,0.128903,0.123749,0.095675,0.063076,Theristicuscaudatussong
0.175581,0.316743,0.085343,-75.003825,3.661981,-0.358756,0.180626,0.341144,0.158555,0.636503,0.302688,0.410618,0.250391,0.506943,0.467971,0.462272,0.086516,0.152281,0.029035,4.584871,1.936494,1.093064,0.963710,0.714015,0.705659,0.594010,0.588023,0.557521,0.492974,0.473566,0.430183,0.422140,0.047209,0.084183,0.010370,8.979129,1.231894,0.592923,0.744426,0.301641,0.318532,0.274368,0.206338,0.192836,0.206808,0.191370,0.168894,0.144269,0.031008,0.037212,0.008669,5.878898,0.735621,0.188839,0.248059,0.115234,0.115632,0.109370,0.094102,0.111242,0.098805,0.085028,0.070779,0.061474,Theristicuscaudatussong
0.064683,0.144099,0.083891,-66.538513,3.426677,1.157922,0.842122,1.181277,0.142130,-0.657801,0.590944,0.236128,-0.051071,0.250454,0.113365,0.303426,0.034409,0.097086,0.032344,4.187842,1.277602,1.013365,0.775083,0.738306,0.659053,0.632333,0.674500,0.578226,0.583521,0.582505,0.557508,0.495390,0.029292,0.075938,0.011197,7.234427,1.327549,0.742953,0.379217,0.374024,0.398469,0.331149,0.421536,0.219739,0.375158,0.396800,0.210297,0.183447,0.018861,0.079150,0.013920,6.969949,0.547951,0.427192,0.171407,0.185893,0.128591,0.122262,0.146221,0.071130,0.113936,0.130801,0.101755,0.075162,Theristicuscaudatussong
0.158851,0.233129,0.081790,-69.286888,0.803884,1.541742,-0.710914,1.823497,0.629955,-0.728459,0.731701,0.164059,0.685174,-0.121118,1.085031,0.371396,0.037715,0.036713,0.027487,4.236981,1.140384,1.923473,0.866465,0.846051,0.795693,0.726270,0.606578,0.671068,0.728990,0.628126,0.554645,0.501694,0.016173,0.020841,0.005728,2.156364,0.829953,0.978373,0.531335,0.328698,0.616635,0.610808,0.134673,0.425062,0.475445,0.230558,0.217998,0.180969,0.008025,0.016650,0.005257,1.017911,0.313591,0.430135,0.142460,0.201313,0.155948,0.140870,0.080422,0.110675,0.186542,0.079591,0.108864,0.075484,Theristicuscaudatussong
0.061241,0.128794,0.093263,-67.720584,2.351444,-3.208517,-0.225317,-0.642509,0.646351,-1.568107,0.707497,-0.169173,0.616440,0.164873,0.778068,0.354930,0.012857,0.063011,0.050101,3.928472,1.250439,0.928087,0.755290,0.885159,0.783712,0.749803,0.660416,0.618617,0.614136,0.573157,0.557320,0.528152,0.016456,0.110531,0.014741,9.934778,1.263268,1.583853,0.710524,0.840274,0.401974,0.767708,0.355844,0.499076,0.325917,0.293794,0.280691,0.224233,0.010419,0.111616,0.014469,7.669708,0.483692,0.357346,0.128407,0.209508,0.168942,0.191654,0.114030,0.099413,0.106516,0.070237,0.074621,0.076581,Theristicuscaudatussong
0.104850,0.153749,0.086967,-78.387965,-1.452782,-3.217980,0.930189,2.350152,0.894847,-0.988037,1.507797,0.580055,0.383240,1.167752,0.344548,0.742901,0.024618,0.057204,0.038492,5.086827,1.545085,1.017855,0.704889,0.790842,0.658243,0.672980,0.673728,0.633226,0.756188,0.684868,0.615047,0.469606,0.011119,0.023443,0.008040,10.129808,1.387831,0.919791,0.585373,0.597885,0.213221,0.386937,0.456537,0.316503,0.243666,0.318194,0.257973,0.191108,0.024598,0.047132,0.035411,8.040694,0.313766,0.247921,0.143057,0.174072,0.087738,0.108199,0.130158,0.123036,0.129843,0.143628,0.129100,0.060478,Theristicuscaudatussong
0.340646,0.403142,0.077934,-85.555646,-0.332573,-1.436598,0.652937,1.144046,1.016015,0.603870,0.793515,0.685550,0.758206,0.711406,0.742039,0.522982,0.040931,0.034147,0.025250,2.248574,0.884397,0.746950,0.640122,0.626827,0.577287,0.605248,0.571771,0.523261,0.538975,0.489374,0.466668,0.442572,0.035586,0.037630,0.007175,1.338737,0.322927,0.426991,0.273270,0.264750,0.227556,0.241933,0.255254,0.109088,0.160776,0.097679,0.115689,0.071967,0.031669,0.047238,0.006891,2.757668,0.395068,0.340321,0.169287,0.117368,0.106129,0.125270,0.112144,0.066184,0.087173,0.054815,0.057337,0.059090,Theristicuscaudatussong
0.062456,0.097225,0.086575,-74.208475,3.606262,-1.490274,1.433054,1.267097,0.522941,-0.263199,1.353216,0.608289,0.052113,0.709405,0.528393,0.313270,0.020776,0.041388,0.043174,2.727063,1.082071,0.922502,0.662037,0.862829,0.646371,0.705874,0.703920,0.621553,0.644374,0.604461,0.552917,0.515308,0.036634,0.037563,0.013170,3.511504,1.032022,1.019425,0.553653,0.707381,0.373565,0.520309,0.505677,0.326853,0.541501,0.273734,0.240662,0.178754,0.024261,0.052204,0.033310,2.480911,0.459888,0.303721,0.135024,0.300532,0.108627,0.150085,0.181746,0.118351,0.152537,0.151562,0.096348,0.098772,Theristicuscaudatussong
0.140370,0.210839,0.078586,-71.552742,6.346145,-1.355261,0.400320,0.183710,0.535957,-0.323071,1.148428,-0.153190,0.294731,0.590166,0.338691,0.148900,0.051266,0.070630,0.029040,3.257377,1.588494,0.643591,0.663918,0.766979,0.873291,0.523963,0.610108,0.463356,0.500951,0.518333,0.402203,0.374182,0.032506,0.042132,0.007687,8.040465,1.227465,0.432884,0.310309,0.458688,0.539047,0.195578,0.350869,0.186644,0.318053,0.272605,0.169149,0.087535,0.024696,0.035260,0.020036,5.961231,0.816931,0.167897,0.162947,0.207673,0.280628,0.150439,0.198262,0.100065,0.129945,0.148962,0.092783,0.067519,Theristicuscaudatussong
0.426925,0.682488,0.052431,-47.001023,1.213767,-0.162570,0.187853,0.527809,0.115476,0.523960,0.205816,0.550291,0.074322,0.557410,0.124410,0.431074,0.059138,0.079681,0.022910,4.450524,0.795254,0.873983,0.449155,0.448425,0.332270,0.356800,0.288909,0.279337,0.274025,0.268021,0.239400,0.252575,0.154527,0.271045,0.040098,36.599949,1.357728,0.799179,0.325680,0.647535,0.227290,0.468434,0.239826,0.479075,0.139179,0.440688,0.145975,0.363116,0.059809,0.081471,0.030929,8.795772,0.726265,0.786941,0.366272,0.363333,0.265009,0.282145,0.227450,0.213995,0.216549,0.207687,0.182735,0.192016,Theristicuscaudatussong
0.028611,0.076891,0.079723,-76.367477,5.691366,-0.275939,0.923560,0.371110,1.142439,0.384663,0.495535,0.443254,0.547946,0.480656,0.433571,0.276545,0.012599,0.057997,0.028881,2.643117,0.725870,0.593257,0.572963,0.580676,0.539927,0.539985,0.542079,0.537164,0.530668,0.503991,0.477730,0.476423,0.011012,0.048019,0.008122,8.233324,0.990111,0.359689,0.398803,0.275559,0.289750,0.196815,0.187706,0.251396,0.330381,0.177532,0.177590,0.219480,0.008234,0.092256,0.016312,7.457090,0.316591,0.118682,0.065150,0.108191,0.080085,0.071442,0.075333,0.081564,0.081456,0.071682,0.062512,0.075545,Camptostomaobsoletumsong
