ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort,,,,,,,,,,,,,,,,
112719,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,Basileuterus culicivorus -- Golden-crowned Warbler,,"Marantz, Curtis A",1998,7,19,1029,Brazil,Rio de Janeiro,,"Parque Nacional Itatiaia; Trilha de Tres Picos, above Hotel Simon",,,,Unknown Age Unknown Sex (1),song,Playback Self,Certain,Sound,,,5,0,137,HHB PORTADAT PDR 1000,Sennheiser ME 64,Parabola 61cm (24in),Mono,,,,Forest, Cloudforest, Evergreen Forest,,," NOTES: After playback, bird was initially silent, but eventually it began singing again much closer to us; glimpsed by JFP; song was the same, but intersong interval was much shorter after playback; apparently 6-8 meters away and two meters up in very dense growth ",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,
22665,Audio,Hylopezus perspicillatus,Streak-chested Antpitta,Hylophylax naevioides -- Spotted Antbird, Trogon violaceus -- Guianan Trogon,,"Morton, Eugene S",1964,7,5,1030,Panama,Panamá,,Barro Colorado Island,,,,,advertise, song,Human, Natural,Not Provided,Sight and Sound,,,3,0,220,NAGRA III-B,Sennheiser,,Mono,,,,,,, NOTES:  General climate: CYCLIC WET-DRY,   Sex: 1 UNKNOWN, Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67510,,,,,,,,,,,,
211146,Audio,Hylopezus dives,Thicket Antpitta,,,"Ross, Jr., David L",1993,6,12,827,Costa Rica,Heredia,,Rara Avis,10.28173,-84.04489,,,song,,Not Provided,,,,4,0,583,NAGRA IV-S,Sennheiser MKH 106,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,,,,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,,
112731,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,Rhopias gularis -- Star-throated Antwren,,"Marantz, Curtis A",1998,7,20,745,Brazil,Rio de Janeiro,,Parque Nacional Itatiaia, Trilha de Tres Picos above Hotel Simon,-22.4402778,-44.6036111,,Unknown Age Unknown Sex (1),advertise, song,Playback Self,Certain,Sound,,,4,0,254,HHB PORTADAT PDR 1000,Sennheiser ME 64,Parabola 61cm (24in),Mono,,,,Forest, Cloudforest, Evergreen Forest,,," NOTES: Same bird as cuts #97-07-19, 20 recorded previous day; after playback of tape recorded previous day (probably #97-07-20); response was same as previously, a silent approach followed eventually by the same song given with a shorter intersong interval; unseen but apparently 10-12 meters away and 1-2 meters up in desne undergrowth, much of it bamboo; weather same, but temperature about 54¡. ",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,
63602,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Schwartz, Paul A",1971,11,20,655,Brazil,Rio Grande do Sul,,near Canela and Gramado, Morro Polado,-29.3666667,-50.7833333,800,,song,Natural, Playback Self,Not Provided,,,,4,0,344,NAGRA UNSPECIFIED IV,Sennheiser MKH 405,Parabola 61cm (24in),Mono,,,,,,,"NOTES: Neotropical Institute Cut # 4. Brazil (Misc.Formicariide); Bulk reel: 192. 203 tape.   Natural song. Also hear prominently the ""churrs"" of Todirostrum plumbiceps. Quality: 2. Level: +5. Then after playback. Quality: 1-2. Level: +5. Collected.       Belton Data: RRN: 372. How Identified: Sight and Sound. Confidence in Identification: 100%. Location: 5KM SE of Canela; Morro Pelado. Latitude: 29¡22'S. Longitude: 50¡49'W. Elevation: 850m. Vocalization: Song and Call. Environmental Zone: Subtropical. Habitat Class: Forest. Habitat Subclass: Coniferous, Deciduous, Evergreen, Undergrowth. Strata in Habitat: Surface. Number of individuals: 2 Adults sex unknown. Belton Data entered 11Nov2009 mf.  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,
62474,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Schwartz, Paul A",1968,5,30,830,Venezuela,,,Rio Grande, ~ 2 km north of km 9.5, El Palmar,7.9666667,-61.8833333,250,,song,Natural, Playback Self,Not Provided,,,,4,0,436,NAGRA III,Electro-Voice 650,Parabola 91.4cm (36in),Mono,,,,,,," NOTES: Neotropical Institute Cut # 6. Bulk reel: 143 a) Natural song. Very likely same bird as in Cut 5). Quality: ""1"". Level: +5. b) After playback. Quality: 1. Ledvel: +5. This bird was then collected, pickled whole, and sent to Geo. Lowery at LSU in Aug. 1968.",,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,
88479,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,Amazona sp. -- Amazona sp., Automolus infuscatus -- Olive-backed Foliage-gleaner, Celeus grammicus -- Scale-breasted Woodpecker, Cercomacra cinerascens -- Gray Antbird, Crypturellus strigulosus -- Brazilian Tinamou, Cymbilaimus lineatus -- Fasciated Antshrike, Monasa sp. -- Monasa sp., Saltator grossus -- Slate-colored Grosbeak, Pyriglena leuconota -- White-backed Fire-eye, Ramphastos tucanus -- White-throated Toucan, Thamnophilus schistaceus -- Plain-winged Antshrike, Pheugopedius genibarbis -- Moustached Wren, Trogon viridis -- Green-backed Trogon,,"Marantz, Curtis A",1997,10,15,638,Brazil,Mato Grosso,,"W of Rio Cristalino, Reserva Ecologica Cristalino",,,,Adult Unknown Sex (1),advertise, dawn song, song,Playback Self,Certain,Sight and Sound,,,3,0,519,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: (Humid climate) (Dry season) (isolated) (thick undergrowth) (ca. 200 m out on Trilha Jozias) (HHb filters in cut position)</p>  <p>ML: HPF@200hz when digitized from field DAT.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>    ML: Background subject changed from recordist's original identification of Ramphastos tucanus cuvieri to Ramphastos tucanus to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",Same subject(s) as LNS 88478.  Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67590,
76039,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Marantz, Curtis A",1994,8,7,844,Peru,Madre de Dios,,Collpa de Guacamayos, Rio Tambopata,-13.13,-69.58,,Adult Unknown Sex (1),advertise, song,,Certain,Sound,,,3,0,116,NAGRA IV-D,Sennheiser MKH 815,,Mono,,,,Rainforest, Riparian,,," NOTES: (Sound or Soc. Contact: Isolated. Breed. Status: Territorial. Del. Rate: Normal; High. Climate: Humid; Cyclic Wet-Dry. Gen. Hab: Riparian +/-. Cov. Density: Thick. Strata: Surface?) In an apparently swampy area which was clearly wet but no water (open) was evident. Opposite 800 m., Trail C (probably 50-75 m. east of trail).",,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,
63615,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Schwartz, Paul A",1971,12,4,1700,Brazil,São Paulo,,Estacao Biologica de Boraceia,-23.65,-45.9,800,,song,Playback Same Species,Not Provided,Sound,,,3,0,119,NAGRA UNSPECIFIED IV,Sennheiser MKH 405,Parabola 91.4cm (36in),Mono,,,,,,,"NOTES: Neotropical Institute Cut # 17. Brazil; Bulk reel: 193  Unable to see bird; identified by voice.  Bird brought into song by playback of song recorded at Morro Pelado, R.G.S., Cut 4. Quality: 1-2. Level: +3. 203 tape.  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,,,
62472,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Myrmothera campanisona -- Thrush-like Antpitta,,"Schwartz, Paul A",1966,7,6,0,Venezuela,,,Rio Grande, km 10, El Palmar,7.9666667,-61.8833333,250,,song,Natural,Not Provided,,,,3,0,370,NAGRA III,Electro-Voice 650,Parabola 91.4cm (36in),Mono,,,,,,," NOTES: Neotropical Institute Cut # 4. Bulk reel: 143 Fair, after rain.  a) ~1:00 PM. Natural song. This is a different bird; it may be the one in background of Cut 3). Quality: 2. Level: +5. This bird, as do others, occasionally fails to sing the final note of the normal phrase. b) 2:00 PM. Same bird ~ one hour later. (Cicada in background and Myrmothera campanisona prominent in beginning.) Quality: 1. Level: +5.",,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,
62471,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Schwartz, Paul A",1966,7,6,1200,Venezuela,,,Rio Grande, km 10, El Palmar,7.9666667,-61.8833333,,,song,Human, Playback Self,Not Provided,Sight and Sound,,,3,0,163,NAGRA III,Electro-Voice 650,Parabola 91.4cm (36in),Mono,,,,,,," NOTES: Neotropical Institute Cut # 23 Bulk reel: 143. This bird was ""whistled in."" I believe it to be a different one from that of Cuts 1) and 2) as it is ~ 500 m. distant and across the road. Quality: 1. Level: +5. A still different bird in background. Then bird closer after playback of first part. Rain at end. Quality: 1. Level: +5.", Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,
31726,Audio,Hylopezus fulviventris,White-lored Antpitta,Psarocolius angustifrons -- Russet-backed Oropendola,,"Parker, III, Theodore A",1983,6,23,1620,Peru,Loreto,,N bank Río Napo, Sucusari Camp,-3.25,-72.92,,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Certain,Sight,,,3,0,553,NAGRA IV-B,Electro-Voice DL42,,Mono,,,,Riparian,,, NOTES: (Breeding Status: Territorial. Gen. Climate: Humid. Gen. Habitat: Heliconia thicket under Cecropia trees. Cover Density: Thick.), Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,
